User_ID,Deep_Sleep_Duration
U_00001,2.785033232
U_00002,0.874390501
U_00003,6.760476378
U_00004,2.645595942
U_00005,4.440671668
U_00006,2.442959801
U_00007,7.344770431
U_00008,0.978512942
U_00009,2.195808181
U_00010,5.614280246
U_00011,7.104423692
U_00012,5.319462936
U_00013,1.639424786
U_00014,1.844815137
U_00015,3.975976794
U_00016,4.791913708
U_00017,3.134767589
U_00018,4.025095273
U_00019,0.615158653
U_00020,2.585122049
U_00021,0.957586673
U_00022,1.208596882
U_00023,7.142176327
U_00024,2.737752742
U_00025,6.806880237
U_00026,4.97711319
U_00027,1.854972892
U_00028,3.090226102
U_00029,6.756886013
U_00030,4.115785275
U_00031,4.991973394
U_00032,2.436032247
U_00033,3.871268155
U_00034,3.525797322
U_00035,3.085551824
U_00036,4.880979424
U_00037,5.851458327
U_00038,7.100543784
U_00039,3.827867526
U_00040,5.605729028
U_00041,1.832596996
U_00042,3.061076418
U_00043,2.979712112
U_00044,0.78322003
U_00045,1.400942765
U_00046,6.309411396
U_00047,5.401197086
U_00048,5.29586297
U_00049,3.766225407
U_00050,4.949109338
U_00051,1.616126845
U_00052,2.98837161
U_00053,1.534255534
U_00054,3.851207795
U_00055,5.903908775
U_00056,5.608060087
U_00057,1.953289861
U_00058,3.701065144
U_00059,4.302968822
U_00060,3.175690114
U_00061,8.798465646
U_00062,2.498136571
U_00063,3.525102227
U_00064,3.491652327
U_00065,3.738338352
U_00066,5.977794577
U_00067,6.322259993
U_00068,4.126628116
U_00069,4.325308097
U_00070,3.286356121
U_00071,0.729943415
U_00072,3.58757995
U_00073,3.570624691
U_00074,1.028342001
U_00075,0.977522695
U_00076,2.216094503
U_00077,7.021531629
U_00078,4.476728724
U_00079,3.765086009
U_00080,3.592313237
U_00081,3.537995665
U_00082,3.300540049
U_00083,6.824181878
U_00084,5.991081156
U_00085,4.953557912
U_00086,5.204933552
U_00087,2.458072461
U_00088,0.561441274
U_00089,3.105312555
U_00090,6.461294562
U_00091,1.442251995
U_00092,6.60131411
U_00093,0.790814285
U_00094,5.446317433
U_00095,1.441182586
U_00096,6.557201156
U_00097,1.149424764
U_00098,2.084396792
U_00099,6.301763784
U_00100,5.16246402
U_00101,2.981467331
U_00102,6.838978705
U_00103,5.642739816
U_00104,2.411370605
U_00105,4.829335126
U_00106,2.493676775
U_00107,3.837341427
U_00108,5.17960539
U_00109,3.034401208
U_00110,0.90412091
U_00111,4.237145605
U_00112,3.618114793
U_00113,2.747224609
U_00114,0.636943945
U_00115,4.441022072
U_00116,2.263024744
U_00117,4.017253053
U_00118,8.378841527
U_00119,1.671021543
U_00120,0.827370141
U_00121,2.688727764
U_00122,4.39128477
U_00123,4.721844676
U_00124,2.540086919
U_00125,2.711314089
U_00126,1.736973262
U_00127,3.149742317
U_00128,6.759632018
U_00129,3.309039908
U_00130,4.836280856
U_00131,1.449621423
U_00132,3.910326915
U_00133,4.490947816
U_00134,1.543486556
U_00135,2.71603432
U_00136,0.909795041
U_00137,8.962131648
U_00138,1.995721497
U_00139,9.462057096
U_00140,4.314914066
U_00141,4.531620095
U_00142,0.74262607
U_00143,5.574127233
U_00144,3.294634289
U_00145,3.252901584
U_00146,4.093125322
U_00147,3.837805072
U_00148,1.869536955
U_00149,3.622676375
U_00150,3.172768662
U_00151,2.693798883
U_00152,4.069550281
